0,1,2
-11.2725,-37.795,206.0
-13.251094,-43.405365,446.0
-10.738055,-38.108334,367.0
-10.399722,-37.7475,285.0
-10.473959,-36.48205,5.0
-17.963017,-38.70329,0.0
-9.625693,-42.077213,395.0
-11.328998,-41.864506,767.0
-12.557854,-41.38881,394.0
-14.208123,-42.749645,544.0
-16.388977,-39.18239,93.0
-10.443072,-40.148243,522.0
-11.084858,-43.138996,408.0
-13.155681,-41.774124,1236.0
-12.035833,-37.683887,34.0
-10.723056,-43.65111,500.0
-14.181886,-41.67228,465.0
-13.009468,-39.616882,384.0
-9.833617,-39.495632,444.0
-10.984645,-39.61701,303.0
-15.280278,-39.09139,27.0
-13.90694,-38.97222,8.0
-12.193055,-43.213333,424.0
-11.205136,-40.464977,474.0
-11.664722,-39.023056,340.0
-10.537233,-38.996605,431.0
-10.45492,-41.206997,682.0
-13.34361,-39.12667,93.12
-14.171389,-39.6925,135.0
-15.24462,-40.22955,264.0
-16.088055,-39.21528,93.0
-9.0013,-39.9124,359.0
-10.018333,-42.50028,400.0
-10.080833,-38.345833,261.0
-10.671667,-37.47139,193.0
-11.052164,-45.200768,488.0
-10.207778,-37.431946,275.0
-13.0389,-42.6172,563.0
-17.006945,-39.558056,104.0
-12.808333,-38.495834,26.0
-11.058722,-38.444027,180.0
-21.228373,-43.767704,1138.0
-19.605696,-46.949615,1031.0
-16.686316,-43.84376,631.0
-18.916945,-48.255554,885.0
-16.166773,-40.687756,188.0
-22.861605,-46.043365,1553.0
-20.762608,-42.864014,698.0
-19.573824,-42.622414,574.0
-18.952908,-49.52507,533.0
-20.556593,-43.75622,982.0
-21.106503,-44.250927,916.0
-21.56639,-45.404167,939.0
-20.745237,-46.633915,768.0
-21.104868,-42.375904,265.0
-21.769964,-43.36433,853.0
-19.53921,-49.51813,561.0
-19.98586,-48.151573,565.0
-19.883945,-43.9694,858.0
-17.7988,-40.24993,190.0
-18.996683,-46.985935,968.0
-20.45493,-45.453827,877.0
-19.875278,-47.434166,950.0
-14.408228,-44.40412,507.0
-17.89284,-41.515423,404.0
-18.200855,-45.459835,886.0
-22.3958,-44.96191,1038.0
-21.918066,-46.382996,1084.0
-22.314568,-45.37305,1325.0
-18.830355,-41.97701,200.0
-18.786842,-42.94292,828.0
-19.532768,-41.0908,265.0
-19.885399,-44.41688,778.0
-19.481936,-45.593933,703.0
-18.231052,-43.64827,1345.0
-18.747711,-44.453785,632.0
-15.085958,-44.016037,453.0
-18.78062,-40.986504,243.0
-17.705503,-42.389256,946.0
-16.554102,-46.881935,637.0
-14.912222,-42.808613,559.0
-15.524167,-46.435555,932.0
-17.258064,-44.8356,500.0
-17.561388,-47.199165,999.0
-16.362747,-45.123802,488.0
-15.300159,-45.61743,870.0
-15.751536,-41.457787,756.0
-16.575666,-41.485588,341.0
-15.723139,-42.43575,838.0
-16.160328,-42.310265,482.0
-17.78477,-46.119392,847.0
-19.735758,-42.137146,592.0
-20.031458,-44.01125,1300.0
-20.263378,-42.182816,850.0
-21.546728,-43.26103,443.0
-15.44809,-44.366314,476.0
-20.909891,-47.114258,836.0
-18.520666,-46.440613,961.0
-15.802778,-43.296944,535.0
-20.173279,-44.874943,784.0
-20.03111,-46.008812,681.0
-16.848888,-42.440556,482.0
